species,gtdb_id,description,gram_stain,cell_shape,motility,Alkaline phosphatase,Esterase,Esterase Lipase,Lipase,Leucine arylamidase,Valine arylamidase,Cystine arylamidase,Trypsin,alpha- Chymotrypsin,Acid phosphatase,Naphthol-AS-BI-phosphohydrolase,alpha- Galactosidase,beta- Galactosidase,beta- Glucuronidase,alpha- Glucosidase,beta- Glucosidase,N-acetyl-beta- glucosaminidase,alpha- Mannosidase,alpha- Fucosidase,GLY,ERY,DARA,LARA,RIB,DXYL,LXYL,ADO,MDX,GAL,GLU,FRU,MNE,SBE,RHA,DUL,INO,MAN,SOR,MDM,MDG,NAG,AMY,ARB,ESC,SAL,CEL,MAL,LAC,MEL,SAC,TRE,INU,MLZ,RAF,AMD,GLYG,XLT,GEN,TUR,LYX,TAG,DFUC,LFUC,DARL,LARL,GNT,2KG,5KG,NIT,PYZ,PYRA,PAL,beta GUR,beta GAL,alpha GLU,beta NAG,URE,GEL,XYL,NO3,TRP,GLU_ Ferm,ADH Arg,PNPG,GLU_ Assim,ARA,CAP,ADI,MLT,CIT,PAC,OX,ONPG,LDC Lys,ODC,H2S,TDA Trp,IND,VP,Sor,NO2,N2,MTE,LTE,MbGa,MaGa,MbGu,PLE,FUC,MTL,HBG,3MDG,SAT,MUC,LTAT,DTAT,MTAT,DMLT,LMLT,CATE,TATE,TTE,GRT,GAT,TRY,PAT,pOBE,QAT,GTE,mOBE,BAT,PPAT,CMT,TGE,BET,PCE,ABT,HIN,LAT,CYT,HIS,SUC,FUM,GRE,GYT,AVT,ETN,TTN,GLN,ITA,3OBU,APT,GTT,PRO,DALA,LALA,SER,MNT,PROP,TYR,2KT,MAC,CAT,Q,MOB,OF-O,OF-F,genome_path
Bordetella pseudohinzii,GCF_000657795.2,"Bordetella pseudohinzii 8-296-03 is a mesophilic, Gram-negative, motile bacterium that was isolated from oropharyngeal swab of a C57BL/6 laboratory mouse.","['negative', 'negative']","[None, None]","['yes', 'yes']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,-,,,,-,,,-,,,-,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,-,-,,-,-,-,-,-,-,-,+,+,+,+,+,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/657/795/GCF_000657795.2_genomic.fna.gz
Shewanella halifaxensis,GCF_000019185.1,"Shewanella halifaxensis A22-B3 is an aerobe, psychrophilic, Gram-negative bacterium that was isolated from marine sediment of Emerald Basin.","['negative', 'negative']","[None, None]","['yes', 'yes']",+,+,+,-,+,-,-,+,+,+,+,-,-,-,-,-,+,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/019/185/GCF_000019185.1_genomic.fna.gz
Vibrio furnissii,GCF_000176175.1,"Vibrio furnissii 91 19-82 is a facultative anaerobe, mesophilic, Gram-negative bacterium that was isolated from faeces of an adult woman with gastroenteritis.",negative,rod-shaped,yes,+,-,-,-,+,-,-,-,-,+,-,-,-,-,+,-,+,-,-,+,-,-,+,+,-,-,"['+/-', '-']",-,+,"['-', '+']",+,+,-,"['-', '+']",-,-,"['-', '+']",-,-,-,+,-,-,-,-,-,+,-,-,"['-', '+']",+,-,-,-,+,+,-,-,-,-,-,-,-,+,-,+,-,-,,,,,,,,,-,"['-', '+']",-,+,+,+,+,+,+,"['-', '+']",+,-,+,"['-', '+']",-,+,+,-,-,-,-,-,-,-,,,+,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,+,-,+,+,+,+,-,-,+,+,-,-,+,+,-,+,-,-,+,+,+,-,+,-,-,+,-,+,+,+,+,+,+,+,-,+,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/176/175/GCF_000176175.1_genomic.fna.gz
Weissella kandleri,GCF_001438705.1,"Weissella kandleri L250 is an anaerobe, mesophilic, Gram-positive bacterium that was isolated from desert spring.",positive,oval-shaped,no,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/438/705/GCF_001438705.1_genomic.fna.gz
Bifidobacterium primatium,GCF_002802875.1,Bifidobacterium primatium DSM 100687 is a mesophilic bacterium that was isolated from faeces of Saguinus oedipus.,,,,,,,,,,,,,,,,,,,,,,,-,-,-,+,+,+,-,-,-,+,+,+,-,-,-,+,-,+,+,-,+,-,-,+,+,+,+,+,+,-,+,+,-,-,-,-,-,-,+,+,-,-,-,-,+,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/002/802/875/GCF_002802875.1_genomic.fna.gz
Aeromonas tecta,GCF_000820185.1,"Aeromonas tecta F518 is a mesophilic, Gram-negative, motile bacterium that was isolated from stool of a child with diarrhoea.",negative,rod-shaped,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,+,,,,+,,,+,,,+,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,-,+,,+,+,+,+,+,+,+,+,-,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/820/185/GCF_000820185.1_genomic.fna.gz
Mesobacillus jeotgali,GCF_002874535.1,"Mesobacillus jeotgali YKJ-10 is a facultative anaerobe, spore-forming, mesophilic bacterium that forms irregular colonies and was isolated from jeotgal, Korean traditional fermented seafood.","['variable', 'positive']","[None, None]","['yes', 'yes']",+,+,+,-,+,+,+,-,+,+,+,-,-,-,+,-,-,-,-,"['-', '+']",-,-,-,-,-,-,-,-,-,"['+', '-']","['+', '-']","['+', '-']",-,-,-,-,-,-,-,-,"['+/-', '-']",-,-,"['+/-', '-']",-,-,"['+', '-']",-,-,"['+', '-']","['+', '-']",-,-,-,+,+,-,"['+/-', '-']",-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,-,,,,,,,-,-,,,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/002/874/535/GCF_002874535.1_genomic.fna.gz
Alkalicoccus chagannorensis,GCF_000429725.1,"Alkalicoccus chagannorensis CG-15 is a facultative anaerobe, spore-forming, mesophilic bacterium that was isolated from lake Chagannor.","['positive', 'positive']","[None, None]","['yes', 'no']",-,+,-,-,+,+,-,-,+,-,+,+,+,-,+,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/429/725/GCF_000429725.1_genomic.fna.gz
Parabacteroides distasonis,GCF_000012845.1,"Parabacteroides distasonis 10159 is an anaerobe, mesophilic, Gram-negative bacterium that was isolated from Human feces.",negative,rod-shaped,no,+,-,+,-,+,-,-,-,-,+,-,+,+,-,+,+,+,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/012/845/GCF_000012845.1_genomic.fna.gz
Nisaea denitrificans,GCF_000426505.1,"Nisaea denitrificans DR41_21 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from water column.","['negative', 'negative']","[None, None]","['yes', 'yes']",+,+,-,-,+,+,-,-,-,+,+,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/426/505/GCF_000426505.1_genomic.fna.gz
