species,gtdb_id,family,description,gram_stain,cell_shape,motility,Alkaline phosphatase,Esterase,Esterase Lipase,Lipase,Leucine arylamidase,Valine arylamidase,Cystine arylamidase,Trypsin,alpha- Chymotrypsin,Acid phosphatase,Naphthol-AS-BI-phosphohydrolase,alpha- Galactosidase,beta- Galactosidase,beta- Glucuronidase,alpha- Glucosidase,beta- Glucosidase,N-acetyl-beta- glucosaminidase,alpha- Mannosidase,alpha- Fucosidase,GLY,ERY,DARA,LARA,RIB,DXYL,LXYL,ADO,MDX,GAL,GLU,FRU,MNE,SBE,RHA,DUL,INO,MAN,SOR,MDM,MDG,NAG,AMY,ARB,ESC,SAL,CEL,MAL,LAC,MEL,SAC,TRE,INU,MLZ,RAF,AMD,GLYG,XLT,GEN,TUR,LYX,TAG,DFUC,LFUC,DARL,LARL,GNT,2KG,5KG,NIT,PYZ,PYRA,PAL,beta GUR,beta GAL,alpha GLU,beta NAG,URE,GEL,XYL,NO3,TRP,GLU_ Ferm,ADH Arg,PNPG,GLU_ Assim,ARA,CAP,ADI,MLT,CIT,PAC,OX,ONPG,LDC Lys,ODC,H2S,TDA Trp,IND,VP,Sor,NO2,N2,MTE,LTE,MbGa,MaGa,MbGu,PLE,FUC,MTL,HBG,3MDG,SAT,MUC,LTAT,DTAT,MTAT,DMLT,LMLT,CATE,TATE,TTE,GRT,GAT,TRY,PAT,pOBE,QAT,GTE,mOBE,BAT,PPAT,CMT,TGE,BET,PCE,ABT,HIN,LAT,CYT,HIS,SUC,FUM,GRE,GYT,AVT,ETN,TTN,GLN,ITA,3OBU,APT,GTT,PRO,DALA,LALA,SER,MNT,PROP,TYR,2KT,MAC,CAT,Q,MOB,OF-O,OF-F,genome_path
Pseudomonas furukawaii,GCF_002355475.1,Pseudomonadaceae,"Pseudomonas furukawaii KF707 is an aerobe, mesophilic, Gram-negative bacterium that forms circular colonies and was isolated from soil near a biphenyl manufacturing plant.",negative,rod-shaped,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,-,,,,-,,,-,,,-,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,-,-,,+,-,-,+,-,+,-,+,-,+,+,+,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/002/355/475/GCF_002355475.1_genomic.fna.gz
Lelliottia nimipressuralis,GCF_004115925.1,Enterobacteriaceae,"Lelliottia nimipressuralis E 62 is an aerobe, mesophilic, Gram-negative plant pathogen that was isolated from elm tree.",negative,rod-shaped,yes,+,-,-,-,+,-,-,-,-,+,+,+,+,-,+,+,+,-,-,+,-,-,+,+,+,-,-,-,+,+,+,+,-,+,-,-,"['+', '-']","['-', '+']",-,+,+,"['+', '-']",+,+,+,+,+,+,+,-,+,-,-,-,-,-,-,+,-,"['+/-', '+']",+,-,-,-,-,"['-', '+']",+,-,,,,,,,,,-,-,+,,,,+,,,+,+,,,+,+,-,+,-,+,-,-,-,+,+,,,+,-,+,+,+,+,-,+,-,-,+,+,-,-,-,-,+,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,+,+,-,-,-,-,-,-,-,-,+,+,+,+,+,+,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/004/115/925/GCF_004115925.1_genomic.fna.gz
Pseudomonas agarici,GCF_900109755.1,Pseudomonadaceae,"Pseudomonas agarici 71A is an obligate aerobe, mesophilic, Gram-negative plant pathogen that was isolated from mushroom .",negative,rod-shaped,yes,+,+,+,-,+,-,-,+,-,+,+,-,-,-,-,-,-,-,-,+,-,,,+,,,-,,-,+,-,+,-,-,-,-,+,-,,-,-,,,-,,-,-,-,-,-,-,,-,-,,,-,-,-,-,-,,,+,-,+,-,-,,,,,,,,,,,-,,,,,,,-,+,,,+,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,+,-,-,-,-,+,-,-,-,+,+,+,-,+,+,-,+,+,+,-,-,-,-,-,+,+,+,+,+,+,+,-,+,+,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/900/109/755/GCF_900109755.1_genomic.fna.gz
Streptococcus didelphis,GCF_000380005.1,Streptococcaceae,"Streptococcus didelphis 94-11374-1 is a microaerophile, mesophilic, Gram-positive bacterium that was isolated from opposum, Didelphis virginiana, with suppurative dermatitis and hepatic fibrosis.",positive,ovoid-shaped,no,+,+,+,-,+,+,-,-,-,+,+,-,-,+,+,-,-,-,-,+,-,-,-,+,-,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-,+,+,-,-,-,+,+/-,-,-,-,-,-,-,-,-,-,-,-,+/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/380/005/GCF_000380005.1_genomic.fna.gz
Buttiauxella noackiae,GCF_001654865.1,Enterobacteriaceae,"Buttiauxella noackiae EG 59-like NSW 11 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from snail.",negative,rod-shaped,yes,+,-,-,-,+,-,-,-,-,+,+,-,+,-,+,+,-,-,-,+,-,,,+,,,-,,+,+,+,+,+,+,-,-,+,-,,-,+,,,+,,+,+,+,-,-,+,,-,-,,,-,+,+,+,-,,,-,-,+,+,+,,,,,,,,,,,+,,,,,,,+,-,,,+,-,,,,,,,,,,,,+,-,+,-,+,+,-,+,-,+,+,+,+,-,-,+,+,+,-,-,+,+,+,+,+,+,+,-,-,-,-,-,-,-,-,-,+,-,+,+,+,-,+,-,-,-,-,-,-,+,+,+,+,+,+,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/654/865/GCF_001654865.1_genomic.fna.gz
Staphylococcus arlettae,GCF_002902345.1,Staphylococcaceae,"Staphylococcus arlettae BP 47 is an obligate aerobe, mesophilic, Gram-positive bacterium that was isolated from skin of poultry.",positive,coccus-shaped,no,,,,,,,,,,,,,,,,,,,,+/-,-,-,+,+/-,+/-,-,-,-,+/-,+,+/-,-,-,-,-,-,+/-,-,-,-,-,-,-,+/-,-,-,+/-,+/-,-,+,+/-,-,+/-,-,-,-,-,+/-,+/-,-,-,-,-,-,-,+/-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/002/902/345/GCF_002902345.1_genomic.fna.gz
Pseudomonas oryzihabitans,GCF_000730625.1,Pseudomonadaceae,"Pseudomonas oryzihabitans KS0036 is an obligate aerobe, mesophilic, Gram-negative bacterium that was isolated from rice paddy.",negative,rod-shaped,yes,+,+,+,-,+,-,-,+,-,+,+,-,-,-,-,-,-,-,-,+,-,,,+,,,-,,+,+,+,+,-,+,-,+,+,+,,-,-,,,-,,-,+,-,-,-,+,,-,-,,,-,-,-,+,-,,,+,-,+,+,-,,,,,,,,,,,+,,,,,,,+,+,,,+,-,,,,,,,,,,,,+,-,-,-,-,-,+,-,-,-,+,+,+,-,+,+,+,+,+,-,+,+,-,+,+,+,-,-,-,-,-,-,+,+,+,-,+,+,-,+,+,+,+,+,+,-,-,+,+,+,+,+,+,+,+,+,+,+,+,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/730/625/GCF_000730625.1_genomic.fna.gz
Trabulsiella guamensis,GCF_000734965.1,Enterobacteriaceae,"Trabulsiella guamensis 370-85 is a facultative anaerobe, mesophilic, Gram-negative bacterium that was isolated from vacuum cleaner contents.",negative,rod-shaped,yes,,,,,,,,,,,,,,,,,,,,+,-,-,+,+,+,-,-,-,+,+,+,+,-,+,-,-,+,+,-,-,+,"['+', '-']",-,-,-,+,+,-,-,-,+,-,-,-,-,-,-,+,-,-,+,-,-,-,-,+,+,+,,,,,,,,,-,+,,,,,+,,,+,,,,+,,-,+,+,+,+,-,-,+,+,+,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/734/965/GCF_000734965.1_genomic.fna.gz
Bacillus subtilis,GCF_000009045.1,Bacillaceae,"Bacillus subtilis Marburg is a facultative anaerobe, spore-forming, mesophilic bacterium that produces antibiotic compounds.",positive,rod-shaped,yes,+,+,+,-,+,+,-,+,+,+,+,+,+,-,+,+,-,-,-,+,-,,,+,,,-,,+,+,+,+,-,+,-,+,+,+,,+,+,,,+,,+,+,"['-', '+']",+,+,+,,-,+,,+,-,+,+,-,-,,,-,-,+,-,-,+,+,+,+,-,+,+,-,+,+,"['-', '+']",,,,,,,+,-,,,+,-,,,,,,,,,,,,+,+,-,+,+,+,-,+,-,-,+,+,-,-,-,-,+,+,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-,+,+,-,-,-,-,-,+,-,-,+,+,+,+,+,+,-,-,-,-,,+,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/009/045/GCF_000009045.1_genomic.fna.gz
Pseudomonas lini,GCF_001042905.1,Pseudomonadaceae,"Pseudomonas lini DLE411J is an aerobe, mesophilic, Gram-negative bacterium that was isolated from bulk and rhizospheric soil.",negative,rod-shaped,yes,-,+,-,-,+,+,-,+,-,+,+,-,-,-,-,-,-,-,-,+,-,,,+,,,-,,+,+,+,+,-,-,-,+,+,+,,-,+,,,-,,-,-,-,-,+,+,,-,-,,,-,-,-,-,-,,,+,-,+,+,-,,,,,,,,,-,-,-,+,-,-,+,-,+,+,+,-,+,+,-,+,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,+,+,+,-,-,-,-,+,+,+,+,-,+,-,-,-,+,+,+,-,+,+,-,+,+,+,+,+,+,-,+,-,+,+,+,+,+,+,+,+,+,+,+,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/042/905/GCF_001042905.1_genomic.fna.gz
Pseudomonas avellanae,GCF_000444135.1,Pseudomonadaceae,"Pseudomonas avellanae ISPAVE B.062 is an obligate aerobe, mesophilic, Gram-negative plant pathogen that was isolated from hazelnut .",negative,rod-shaped,yes,-,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,+,-,,,-,,,-,,-,+,+,+,-,-,+,+,+,-,,-,-,,,-,,-,+,-,-,+,-,,-,-,,,-,-,-,-,-,,,+,-,-,+,-,,,,,,,,,,,-,,,,,,,-,-,,,+,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,+,-,-,+,+,+,+,+,+,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,+,-,-,-,+,+,+,-,-,-,-,-,-,-,-,-,+,+,-,+,-,+,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/444/135/GCF_000444135.1_genomic.fna.gz
Streptococcus plurextorum,GCF_000423745.1,Streptococcaceae,"Streptococcus plurextorum 1956-02 is a microaerophile, mesophilic, Gram-positive animal pathogen that was isolated from lungs of a pig with pneumonia.",positive,coccus-shaped,no,,,,,,,,,,,,,,,,,,,,-,-,-,-,+/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/423/745/GCF_000423745.1_genomic.fna.gz
Pseudomonas veronii,GCF_001439695.1,Pseudomonadaceae,"Pseudomonas veronii 92-134 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from mineral water.",negative,rod-shaped,yes,+,+,+,-,+,-,-,+,-,+,-,-,-,-,-,-,-,-,-,+,+,,,+,,,-,,+,+,+,+,-,-,-,+,+,+,,-,+,,,-,,-,-,-,-,+,+,,-,-,,,-,-,-,-,-,,,+,-,+,+,+,,,,,,,,,,,+,,,,,,,+,+,,,+,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,+,+,+,+,+,+,-,+,+,+,-,-,-,+,+,+,+,+,+,-,+,+,-,+,+,+,+,-,-,-,-,+,+,+,+,+,+,+,+,+,+,+,+,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/439/695/GCF_001439695.1_genomic.fna.gz
Enterococcus casseliflavus,GCF_001544095.1,Enterococcaceae,"Enterococcus casseliflavus 20 is a microaerophile, mesophilic, Gram-positive bacterium that was isolated from plant material.",positive,coccus-shaped,no,-,+,+,-,+,-,-,-,+,+,+,+,+,+,-,+,-,-,-,"['+', '-']",-,-,+,"['+', '-']",+,-,-,-,"['+', '-']","['+', '-']","['+', '-']","['+', '-']",-,"['+', '-']",-,-,"['+', '-']","['+', '-']",+,"['+', '-']","['+', '-']",+,+,"['+', '-']",+,"['+', '-']","['+', '-']","['+', '-']","['+', '-']","['+', '-']","['+', '-']",+,-,"['+', '-']",+,-,-,"['+', '-']","['+', '-']",-,-,-,-,"['+/-', '-']",-,"['+', '-']",-,"['+/-', '-']",-,-,+,-,+,+,+,+,-,-,"['+', '-']",,,,,,,-,-,,,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/544/095/GCF_001544095.1_genomic.fna.gz
