##  See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
#assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	asm_submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date	assembly_type	group	genome_size	genome_size_ungapped	gc_percent	replicon_count	scaffold_count	contig_count	annotation_provider	annotation_name	annotation_date	total_gene_count	protein_coding_gene_count	non_coding_gene_count	pubmed_id
GCA_965140065.1	PRJEB85433	SAMEA117660395	CBCSLF000000000.1	na	34	34	Myxococcus xanthus	strain=type strain: CIP107069	CIP107069T	latest	Scaffold	Major	Full	2025-02-13	CIP107069T	Collection de l'Institut Pasteur	GCF_965140065.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/140/065/GCA_965140065.1_CIP107069T	na	assembly from type material	na	haploid	bacteria	9285017	9284502	69.000000	0	211	211	Collection de l'Institut Pasteur	Annotation submitted by Collection de l'Institut Pasteur	2025-02-13	7611	7528	73	na
GCA_965135955.1	PRJEB85433	SAMEA117660317	CBCRTV000000000.1	na	214	214	Helicobacter felis	strain=type strain: CIP104084	CIP104084T	latest	Scaffold	Major	Full	2025-02-12	CIP104084T	Collection de l'Institut Pasteur	GCF_965135955.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/135/955/GCA_965135955.1_CIP104084T	na	na	na	haploid	bacteria	1631598	1631511	44.500000	0	72	72	Collection de l'Institut Pasteur	Annotation submitted by Collection de l'Institut Pasteur	2025-02-11	1659	1606	49	na
GCA_965136665.1	PRJEB85433	SAMEA117660719	CBCRXZ000000000.1	na	294	294	Pseudomonas fluorescens	strain=type strain: CIP69.13	CIP69.13T	latest	Scaffold	Major	Full	2025-02-12	CIP69.13T	Collection de l'Institut Pasteur	GCF_965136665.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/136/665/GCA_965136665.1_CIP69.13T	na	assembly from type material	na	haploid	bacteria	6463832	6463745	60.000000	0	64	64	Collection de l'Institut Pasteur	Annotation submitted by Collection de l'Institut Pasteur	2025-02-11	6014	5869	139	na
GCA_965138605.1	PRJEB85433	SAMEA117660702	CBCSGL000000000.1	na	304	304	Roseateles saccharophilus	strain=type strain: CIP59.18	CIP59.18T	latest	Scaffold	Major	Full	2025-02-13	CIP59.18T	Collection de l'Institut Pasteur	GCF_965138605.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/138/605/GCA_965138605.1_CIP59.18T	na	assembly from type material	na	haploid	bacteria	5794657	5794545	69.000000	0	175	175	Collection de l'Institut Pasteur	Annotation submitted by Collection de l'Institut Pasteur	2025-02-12	5309	5237	72	na
GCA_965135705.1	PRJEB85433	SAMEA117660309	CBCRVJ000000000.1	na	460	460	Legionella steigerwaltii	strain=type strain: CIP103851	CIP103851T	latest	Scaffold	Major	Full	2025-02-12	CIP103851T	Collection de l'Institut Pasteur	GCF_965135705.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/135/705/GCA_965135705.1_CIP103851T	na	assembly from type material	na	haploid	bacteria	3952902	3952612	38.500000	0	101	101	Collection de l'Institut Pasteur	Annotation submitted by Collection de l'Institut Pasteur	2025-02-11	3521	3466	54	na
GCA_963394925.1	PRJEB2090	SAMEA678502	CAUJPN000000000.1	na	483	483	Neisseria cinerea	strain=type strain: CCUG 346	na	latest	Contig	Major	Full	2023-08-27	CCUG 346 T	Wellcome Sanger Institute	GCF_963394925.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/394/925/GCA_963394925.1_CCUG_346_T	na	assembly from type material	na	haploid	bacteria	2002810	2002810	50.500000	0	57	57	na	na		0	0	0	na
GCA_963395015.1	PRJEB2090	SAMEA678498	CAUJPY000000000.1	na	493	493	Neisseria canis	strain=type strain: CCUG 56775	na	latest	Contig	Major	Full	2023-08-27	CCUG 56775 T	Wellcome Sanger Institute	GCF_963395015.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/395/015/GCA_963395015.1_CCUG_56775_T	na	na	na	haploid	bacteria	2503774	2503774	49.500000	0	159	159	na	na		0	0	0	na
GCA_965137715.1	PRJEB85433	SAMEA117660713	CBCSEC000000000.1	na	520	520	Bordetella pertussis	strain=type strain: CIP63.1	CIP63.1T	latest	Scaffold	Major	Full	2025-02-13	CIP63.1T	Collection de l'Institut Pasteur	GCF_965137715.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/137/715/GCA_965137715.1_CIP63.1T	na	assembly from type material	na	haploid	bacteria	3852834	3852784	68.000000	0	312	312	Collection de l'Institut Pasteur	Annotation submitted by Collection de l'Institut Pasteur	2025-02-12	3892	3819	57	na
GCA_965140145.1	PRJEB85433	SAMEA117660708	CBCSKX000000000.1	na	548	548	Klebsiella aerogenes	strain=type strain: CIP60.86	CIP60.86T	latest	Scaffold	Major	Full	2025-02-13	CIP60.86T	Collection de l'Institut Pasteur	GCF_965140145.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/140/145/GCA_965140145.1_CIP60.86T	na	assembly from type material	na	haploid	bacteria	5213195	5212836	55.000000	0	93	93	Collection de l'Institut Pasteur	Annotation submitted by Collection de l'Institut Pasteur	2025-02-13	4996	4834	158	na
GCA_902707065.2	PRJEB35745	SAMEA6377904	CACSNA000000000.2	na	562	562	Escherichia coli	strain=type strain: H1-001-0046-S-	na	latest	Contig	Major	Full	2020-07-20	H1-001-0046-S-T.v2	Hopital Henri Mondor APHP	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/707/065/GCA_902707065.2_H1-001-0046-S-T.v2	from large multi-isolate project	na	na	haploid	bacteria	4823212	4823212	50.500000	0	162	162	na	na		0	0	0	na
